strategy_name,symbol,option_type,strike,direction,entry_time,exit_time,entry_price,exit_price,quantity,pnl,exit_reason
ZenCreditSpread,NFO:BANKNIFTY25JUN2557300CE,CE,57300.0,BUY,2026-06-20T14:40:55.608351,2026-06-20T14:40:56.222937,39.09,45.06,15,89.54999999999998,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY25JUN2556500CE,CE,56500.0,SELL,2026-06-20T14:40:55.608337,2026-06-20T14:40:56.223002,224.69,266.81,15,-631.8000000000001,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY25JUN2556700CE,CE,56700.0,BUY,2026-06-20T14:40:55.492291,2026-06-20T14:40:56.223024,168.16,170.48,15,34.7999999999999,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY25JUN2556800CE,CE,56800.0,BUY,2026-06-20T14:40:55.457098,2026-06-20T14:40:56.223045,125.19,137.03,15,177.60000000000005,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY25JUN2556600CE,CE,56600.0,SELL,2026-06-20T14:40:55.457083,2026-06-20T14:40:56.223066,194.52,211.15,15,-249.44999999999993,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:BANKNIFTY25JUN2556400PE,PE,56400.0,SELL,2026-06-20T14:40:55.312226,2026-06-20T14:40:56.223085,184.16,186.08,30,-57.60000000000048,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:BANKNIFTY25JUN2556800CE,CE,56800.0,SELL,2026-06-20T14:40:55.312178,2026-06-20T14:40:56.223104,138.96,137.03,30,57.900000000000205,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY02JUL2556900CE,CE,56900.0,BUY,2026-06-20T14:40:56.526943,2026-06-20T14:40:57.433625,399.09,608.96,15,3148.050000000001,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY02JUL2556700CE,CE,56700.0,SELL,2026-06-20T14:40:56.526929,2026-06-20T14:40:57.433653,463.83,743.3,15,-4192.049999999999,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY02JUL2557500CE,CE,57500.0,BUY,2026-06-20T14:40:56.478664,2026-06-20T14:40:57.433675,276.71,339.48,15,941.5500000000006,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY02JUL2556700CE,CE,56700.0,SELL,2026-06-20T14:40:56.478652,2026-06-20T14:40:57.433695,475.26,743.3,15,-4020.5999999999995,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY02JUL2556800CE,CE,56800.0,BUY,2026-06-20T14:40:56.478556,2026-06-20T14:40:57.433714,440.6,674.34,15,3506.1000000000004,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY02JUL2557300CE,CE,57300.0,BUY,2026-06-20T14:40:57.688469,2026-06-20T14:40:58.650828,379.66,457.46,15,1166.9999999999993,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY02JUL2557600CE,CE,57600.0,BUY,2026-06-20T14:40:58.918410,2026-06-20T14:40:59.617360,302.46,210.27,15,-1382.8499999999995,STOP_LOSS_HIT
ExpiryShortStrangle,NFO:BANKNIFTY02JUL2557200PE,PE,57200.0,SELL,2026-06-20T14:40:58.954133,2026-06-20T14:40:59.878284,381.45,271.94,30,3285.2999999999997,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:BANKNIFTY02JUL2557600CE,CE,57600.0,SELL,2026-06-20T14:40:58.954110,2026-06-20T14:40:59.878309,277.88,216.88,30,1830.0,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY02JUL2557300CE,CE,57300.0,BUY,2026-06-20T14:41:00.182476,2026-06-20T14:41:01.098857,259.89,298.49,15,579.0000000000003,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY02JUL2557300CE,CE,57300.0,BUY,2026-06-20T14:41:01.486091,2026-06-20T14:41:01.848045,191.01,132.23,15,-881.7,STOP_LOSS_HIT
FixedRR_1to3,NFO:BANKNIFTY02JUL2557000CE,CE,57000.0,BUY,2026-06-20T14:41:02.111006,2026-06-20T14:41:02.312323,174.71,216.8,15,631.35,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY02JUL2557100PE,PE,57100.0,BUY,2026-06-20T14:41:01.411892,2026-06-20T14:41:02.312350,212.31,236.7,15,365.8499999999998,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY02JUL2557300PE,PE,57300.0,SELL,2026-06-20T14:41:01.411878,2026-06-20T14:41:02.312371,219.38,362.98,15,-2154.0000000000005,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY09JUL2557200CE,CE,57200.0,BUY,2026-06-20T14:41:02.567914,2026-06-20T14:41:03.395455,457.77,318.3,15,-2092.0499999999997,STOP_LOSS_HIT
ZenCreditSpread,NFO:BANKNIFTY09JUL2557900CE,CE,57900.0,BUY,2026-06-20T14:41:02.645556,2026-06-20T14:41:03.530157,285.41,196.85,15,-1328.4000000000005,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY09JUL2557100CE,CE,57100.0,SELL,2026-06-20T14:41:02.645544,2026-06-20T14:41:03.530187,490.1,346.86,15,2148.6000000000004,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY09JUL2557300CE,CE,57300.0,BUY,2026-06-20T14:41:02.639060,2026-06-20T14:41:03.530208,418.78,296.78,15,-1830.0,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY09JUL2557100CE,CE,57100.0,SELL,2026-06-20T14:41:02.639046,2026-06-20T14:41:03.530228,485.97,346.86,15,2086.65,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY09JUL2556900CE,CE,56900.0,BUY,2026-06-20T14:41:03.841112,2026-06-20T14:41:04.754793,393.27,443.49,15,753.3000000000004,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:BANKNIFTY09JUL2556700PE,PE,56700.0,SELL,2026-06-20T14:41:05.058951,2026-06-20T14:41:05.987345,365.05,341.28,30,713.1000000000012,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:BANKNIFTY09JUL2557100CE,CE,57100.0,SELL,2026-06-20T14:41:05.058931,2026-06-20T14:41:05.987370,287.32,241.71,30,1368.2999999999995,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY09JUL2557100CE,CE,57100.0,BUY,2026-06-20T14:41:05.010283,2026-06-20T14:41:05.987390,299.38,241.71,15,-865.0499999999998,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY09JUL2557200CE,CE,57200.0,BUY,2026-06-20T14:41:06.242337,2026-06-20T14:41:07.008999,268.29,185.72,15,-1238.5500000000004,STOP_LOSS_HIT
LyapunovCreditSpread,NFO:BANKNIFTY09JUL2557000PE,PE,57000.0,BUY,2026-06-20T14:41:07.462752,2026-06-20T14:41:08.422774,188.09,184.05,15,-60.59999999999988,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY09JUL2557200PE,PE,57200.0,SELL,2026-06-20T14:41:07.462740,2026-06-20T14:41:08.422804,188.55,183.4,15,77.25000000000009,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY09JUL2557300CE,CE,57300.0,BUY,2026-06-20T14:41:07.462621,2026-06-20T14:41:08.422825,173.67,178.56,15,73.35000000000022,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY16JUL2557400CE,CE,57400.0,BUY,2026-06-20T14:41:08.772517,2026-06-20T14:41:09.638370,427.94,314.28,15,-1704.9000000000003,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY16JUL2557200CE,CE,57200.0,SELL,2026-06-20T14:41:08.772503,2026-06-20T14:41:09.638400,496.51,368.8,15,1915.6499999999996,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY16JUL2557300CE,CE,57300.0,BUY,2026-06-20T14:41:08.704605,2026-06-20T14:41:09.638421,460.06,340.05,15,-1800.1499999999999,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY16JUL2558000CE,CE,58000.0,BUY,2026-06-20T14:41:08.678769,2026-06-20T14:41:09.638444,269.9,206.08,15,-957.2999999999995,EOD_SQUAREOFF
