strategy_name,symbol,option_type,strike,direction,entry_time,exit_time,entry_price,exit_price,quantity,pnl,exit_reason
LyapunovCreditSpread,NFO:BANKNIFTY25JUN2556800CE,CE,56800.0,BUY,2026-06-20T14:40:55.457098,2026-06-20T14:40:56.223045,125.19,137.03,15,177.60000000000005,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY25JUN2556600CE,CE,56600.0,SELL,2026-06-20T14:40:55.457083,2026-06-20T14:40:56.223066,194.52,211.15,15,-249.44999999999993,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY02JUL2556900CE,CE,56900.0,BUY,2026-06-20T14:40:56.526943,2026-06-20T14:40:57.433625,399.09,608.96,15,3148.050000000001,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY02JUL2556700CE,CE,56700.0,SELL,2026-06-20T14:40:56.526929,2026-06-20T14:40:57.433653,463.83,743.3,15,-4192.049999999999,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY02JUL2557100PE,PE,57100.0,BUY,2026-06-20T14:41:01.411892,2026-06-20T14:41:02.312350,212.31,236.7,15,365.8499999999998,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY02JUL2557300PE,PE,57300.0,SELL,2026-06-20T14:41:01.411878,2026-06-20T14:41:02.312371,219.38,362.98,15,-2154.0000000000005,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY09JUL2557300CE,CE,57300.0,BUY,2026-06-20T14:41:02.639060,2026-06-20T14:41:03.530208,418.78,296.78,15,-1830.0,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY09JUL2557100CE,CE,57100.0,SELL,2026-06-20T14:41:02.639046,2026-06-20T14:41:03.530228,485.97,346.86,15,2086.65,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY09JUL2557000PE,PE,57000.0,BUY,2026-06-20T14:41:07.462752,2026-06-20T14:41:08.422774,188.09,184.05,15,-60.59999999999988,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY09JUL2557200PE,PE,57200.0,SELL,2026-06-20T14:41:07.462740,2026-06-20T14:41:08.422804,188.55,183.4,15,77.25000000000009,EOD_SQUAREOFF
