strategy_name,symbol,option_type,strike,direction,entry_time,exit_time,entry_price,exit_price,quantity,pnl,exit_reason
ZenCreditSpread,NFO:BANKNIFTY25JUN2557300CE,CE,57300.0,BUY,2026-06-20T14:40:55.608351,2026-06-20T14:40:56.222937,39.09,45.06,15,89.54999999999998,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY25JUN2556500CE,CE,56500.0,SELL,2026-06-20T14:40:55.608337,2026-06-20T14:40:56.223002,224.69,266.81,15,-631.8000000000001,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY02JUL2557500CE,CE,57500.0,BUY,2026-06-20T14:40:56.478664,2026-06-20T14:40:57.433675,276.71,339.48,15,941.5500000000006,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY02JUL2556700CE,CE,56700.0,SELL,2026-06-20T14:40:56.478652,2026-06-20T14:40:57.433695,475.26,743.3,15,-4020.5999999999995,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY09JUL2557900CE,CE,57900.0,BUY,2026-06-20T14:41:02.645556,2026-06-20T14:41:03.530157,285.41,196.85,15,-1328.4000000000005,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY09JUL2557100CE,CE,57100.0,SELL,2026-06-20T14:41:02.645544,2026-06-20T14:41:03.530187,490.1,346.86,15,2148.6000000000004,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY16JUL2558000CE,CE,58000.0,BUY,2026-06-20T14:41:08.678769,2026-06-20T14:41:09.638444,269.9,206.08,15,-957.2999999999995,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY16JUL2557200CE,CE,57200.0,SELL,2026-06-20T14:41:08.678753,2026-06-20T14:41:09.638463,460.06,368.8,15,1368.8999999999999,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY23JUL2557800CE,CE,57800.0,BUY,2026-06-20T14:41:14.774105,2026-06-20T14:41:15.729723,278.2,210.57,15,-1014.4499999999999,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY23JUL2557000CE,CE,57000.0,SELL,2026-06-20T14:41:14.774090,2026-06-20T14:41:15.729743,475.68,378.08,15,1464.0000000000005,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY30JUL2557800CE,CE,57800.0,BUY,2026-06-20T14:41:20.856343,2026-06-20T14:41:21.813578,280.92,244.65,15,-544.0500000000002,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY30JUL2557000CE,CE,57000.0,SELL,2026-06-20T14:41:20.856328,2026-06-20T14:41:21.813597,480.33,477.26,15,46.0499999999999,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY06AUG2556400CE,CE,56400.0,BUY,2026-06-20T14:41:26.962919,2026-06-20T14:41:27.919332,277.21,289.89,15,190.2000000000001,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY06AUG2555600CE,CE,55600.0,SELL,2026-06-20T14:41:26.962906,2026-06-20T14:41:27.919352,484.28,640.65,15,-2345.55,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY13AUG2556000CE,CE,56000.0,BUY,2026-06-20T14:41:33.058943,2026-06-20T14:41:34.017440,256.4,289.47,15,496.05000000000075,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY13AUG2555200CE,CE,55200.0,SELL,2026-06-20T14:41:33.058930,2026-06-20T14:41:34.017460,451.05,642.78,15,-2875.9499999999994,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY20AUG2556100CE,CE,56100.0,BUY,2026-06-20T14:41:39.287893,2026-06-20T14:41:40.119343,264.22,227.08,15,-557.1000000000003,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY20AUG2555300CE,CE,55300.0,SELL,2026-06-20T14:41:39.287880,2026-06-20T14:41:40.119371,468.59,434.54,15,510.7499999999993,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY27AUG2556700CE,CE,56700.0,BUY,2026-06-20T14:41:44.158691,2026-06-20T14:41:45.028347,263.08,195.54,15,-1013.0999999999999,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY27AUG2555900CE,CE,55900.0,SELL,2026-06-20T14:41:44.158679,2026-06-20T14:41:45.028377,461.11,364.43,15,1450.2,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY03SEP2554900CE,CE,54900.0,BUY,2026-06-20T14:41:49.010353,2026-06-20T14:41:49.982563,243.25,169.62,15,-1104.4499999999998,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY03SEP2554100CE,CE,54100.0,SELL,2026-06-20T14:41:49.010339,2026-06-20T14:41:49.982583,435.88,315.1,15,1811.6999999999996,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY10SEP2555000CE,CE,55000.0,BUY,2026-06-20T14:41:55.264379,2026-06-20T14:41:56.197843,266.68,190.31,15,-1145.5500000000002,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY10SEP2554200CE,CE,54200.0,SELL,2026-06-20T14:41:55.264366,2026-06-20T14:41:56.197863,477.72,358.97,15,1781.25,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY17SEP2555400CE,CE,55400.0,BUY,2026-06-20T14:42:01.385817,2026-06-20T14:42:02.353607,245.29,224.68,15,-309.14999999999975,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY17SEP2554600CE,CE,54600.0,SELL,2026-06-20T14:42:01.385802,2026-06-20T14:42:02.353630,435.77,457.48,15,-325.65000000000055,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY24SEP2556600CE,CE,56600.0,BUY,2026-06-20T14:42:07.707852,2026-06-20T14:42:08.614618,258.27,209.9,15,-725.5499999999996,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY24SEP2555800CE,CE,55800.0,SELL,2026-06-20T14:42:07.707832,2026-06-20T14:42:08.614638,452.13,399.0,15,796.9499999999999,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY01OCT2555900CE,CE,55900.0,BUY,2026-06-20T14:42:13.951267,2026-06-20T14:42:14.884399,267.32,190.77,15,-1148.2499999999998,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY01OCT2555100CE,CE,55100.0,SELL,2026-06-20T14:42:13.951252,2026-06-20T14:42:14.884421,473.06,360.68,15,1685.6999999999998,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY08OCT2556200CE,CE,56200.0,BUY,2026-06-20T14:42:20.116379,2026-06-20T14:42:21.079690,211.71,184.46,15,-408.75,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY08OCT2555400CE,CE,55400.0,SELL,2026-06-20T14:42:20.116366,2026-06-20T14:42:21.079710,415.99,451.94,15,-539.2499999999998,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY15OCT2556700CE,CE,56700.0,BUY,2026-06-20T14:42:25.091871,2026-06-20T14:42:26.075204,276.16,277.28,15,16.799999999999216,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY15OCT2555900CE,CE,55900.0,SELL,2026-06-20T14:42:25.091855,2026-06-20T14:42:26.075224,480.11,591.66,15,-1673.2499999999993,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY22OCT2557900CE,CE,57900.0,BUY,2026-06-20T14:42:31.494472,2026-06-20T14:42:32.333644,272.11,302.34,15,453.4499999999994,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY22OCT2557100CE,CE,57100.0,SELL,2026-06-20T14:42:31.494457,2026-06-20T14:42:32.333674,469.2,627.66,15,-2376.8999999999996,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY29OCT2559300CE,CE,59300.0,BUY,2026-06-20T14:42:35.360475,2026-06-20T14:42:36.297136,280.8,178.91,15,-1528.3500000000001,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY29OCT2558500CE,CE,58500.0,SELL,2026-06-20T14:42:35.360462,2026-06-20T14:42:36.297169,471.26,302.31,15,2534.25,EOD_SQUAREOFF
