strategy_name,symbol,option_type,strike,direction,entry_time,exit_time,entry_price,exit_price,quantity,pnl,exit_reason
ExpiryShortStrangle,NFO:NIFTY26JUN2524950PE,PE,24950.0,BUY,2026-06-20T23:30:32.850859,2026-06-20T23:30:32.854239,40.51,121.53,25,2025.5000000000002,INTRABAR_TARGET
ExpiryShortStrangle,NFO:NIFTY26JUN2525450CE,CE,25450.0,BUY,2026-06-20T23:30:32.850790,2026-06-20T23:30:32.854299,42.68,128.04,25,2133.9999999999995,INTRABAR_TARGET
LyapunovCreditSpread,NFO:NIFTY26JUN2525200PE,PE,25200.0,BUY,2026-06-20T23:30:32.991928,2026-06-20T23:30:32.995265,116.47,147.622,250,7788.000000000004,INTRABAR_TARGET
ZenCreditSpread,NFO:NIFTY26JUN2525200PE,PE,25200.0,BUY,2026-06-20T23:30:33.151472,2026-06-20T23:30:33.154825,109.57,151.826,175,7394.8,INTRABAR_TARGET
FixedRR_1to3,NFO:NIFTY26JUN2525250CE,CE,25250.0,BUY,2026-06-20T23:30:33.253241,2026-06-20T23:30:33.256602,96.18,182.742,4,346.24799999999993,INTRABAR_TARGET
FixedRR_1to3,NFO:NIFTY26JUN2525250CE,CE,25250.0,BUY,2026-06-20T23:30:33.256700,2026-06-20T23:30:33.260041,95.64,181.71599999999998,4,344.3039999999999,INTRABAR_TARGET
ZenCreditSpread,NFO:NIFTY26JUN2525050PE,PE,25050.0,SELL,2026-06-20T23:30:33.151486,2026-06-20T23:30:33.776988,56.75,29.89,175,4700.5,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:NIFTY26JUN2525100PE,PE,25100.0,SELL,2026-06-20T23:30:32.991947,2026-06-20T23:30:33.777016,77.53,40.65,250,9220.0,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:NIFTY26JUN2525100PE,PE,25100.0,SELL,2026-06-20T23:30:32.850919,2026-06-20T23:30:33.777039,77.65,40.65,25,925.0000000000002,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:NIFTY26JUN2525300CE,CE,25300.0,SELL,2026-06-20T23:30:32.850897,2026-06-20T23:30:33.777060,87.68,72.84,25,371.0000000000001,EOD_SQUAREOFF
ZenCreditSpread,NFO:NIFTY26JUN2525400CE,CE,25400.0,BUY,2026-06-20T23:30:34.054812,2026-06-20T23:30:34.058057,249.4,301.528,150,7819.200000000003,INTRABAR_TARGET
ZenCreditSpread,NFO:NIFTY26JUN2525550CE,CE,25550.0,SELL,2026-06-20T23:30:34.054828,2026-06-20T23:30:35.001156,184.24,258.37,150,-11119.5,EOD_SQUAREOFF
CurvatureCreditSpread,NFO:NIFTY03JUL2525300PE,PE,25300.0,BUY,2026-06-20T23:30:39.867288,2026-06-20T23:30:39.870581,72.06,10.659,25,-1535.025,INTRABAR_TARGET
