strategy_name,symbol,option_type,strike,direction,entry_time,exit_time,entry_price,exit_price,quantity,pnl,exit_reason
ExpiryShortStrangle,NFO:NIFTY26JUN2525100PE,PE,25100.0,SELL,2026-06-20T14:35:46.411363,2026-06-20T14:35:47.312646,77.65,40.65,50,1850.0000000000005,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:NIFTY26JUN2525300CE,CE,25300.0,SELL,2026-06-20T14:35:46.411303,2026-06-20T14:35:47.312665,87.68,72.84,50,742.0000000000002,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:NIFTY03JUL2525400PE,PE,25400.0,SELL,2026-06-20T14:35:52.452237,2026-06-20T14:35:53.374001,114.24,98.11,50,806.4999999999998,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:NIFTY03JUL2525600CE,CE,25600.0,SELL,2026-06-20T14:35:52.452211,2026-06-20T14:35:53.374023,132.89,70.55,50,3116.9999999999995,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:NIFTY10JUL2525300PE,PE,25300.0,SELL,2026-06-20T14:35:59.736694,2026-06-20T14:36:00.659095,81.66,102.63,50,-1048.5,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:NIFTY10JUL2525500CE,CE,25500.0,SELL,2026-06-20T14:35:59.736672,2026-06-20T14:36:00.659123,102.99,80.45,50,1126.9999999999995,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:NIFTY24JUL2524950PE,PE,24950.0,SELL,2026-06-20T14:36:08.315052,2026-06-20T14:36:09.190420,122.33,95.66,50,1333.5,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:NIFTY24JUL2525150CE,CE,25150.0,SELL,2026-06-20T14:36:08.315031,2026-06-20T14:36:09.190448,137.82,134.77,50,152.49999999999915,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:NIFTY31JUL2524550PE,PE,24550.0,SELL,2026-06-20T14:36:15.665637,2026-06-20T14:36:16.592764,158.43,74.03,50,4220.0,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:NIFTY31JUL2524750CE,CE,24750.0,SELL,2026-06-20T14:36:15.665605,2026-06-20T14:36:16.592784,156.84,219.02,50,-3109.0000000000005,EOD_SQUAREOFF
