strategy_name,symbol,option_type,strike,direction,entry_time,exit_time,entry_price,exit_price,quantity,pnl,exit_reason
LyapunovCreditSpread,NFO:NIFTY26JUN2525100PE,PE,25100.0,BUY,2026-06-20T14:35:46.547787,2026-06-20T14:35:47.312605,77.53,40.65,25,-922.0000000000001,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:NIFTY26JUN2525200PE,PE,25200.0,SELL,2026-06-20T14:35:46.547771,2026-06-20T14:35:47.312626,116.47,71.7,25,1119.25,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:NIFTY26JUN2525250PE,PE,25250.0,BUY,2026-06-20T14:35:47.589747,2026-06-20T14:35:48.520761,198.21,141.4,25,-1420.25,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:NIFTY26JUN2525350PE,PE,25350.0,SELL,2026-06-20T14:35:47.589735,2026-06-20T14:35:48.520814,240.59,174.1,25,1662.2500000000002,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:NIFTY03JUL2525450PE,PE,25450.0,BUY,2026-06-20T14:35:48.800161,2026-06-20T14:35:49.722508,83.08,56.11,25,-674.25,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:NIFTY03JUL2525550PE,PE,25550.0,SELL,2026-06-20T14:35:48.800143,2026-06-20T14:35:49.722546,115.93,81.74,25,854.7500000000003,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:NIFTY03JUL2525650CE,CE,25650.0,BUY,2026-06-20T14:35:50.011762,2026-06-20T14:35:50.940047,107.55,75.32,25,-805.7500000000001,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:NIFTY03JUL2525550CE,CE,25550.0,SELL,2026-06-20T14:35:50.011749,2026-06-20T14:35:50.940069,154.98,116.84,25,953.4999999999997,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:NIFTY03JUL2525450PE,PE,25450.0,BUY,2026-06-20T14:35:51.317268,2026-06-20T14:35:52.141490,53.09,38.95,25,-353.5,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:NIFTY03JUL2525550PE,PE,25550.0,SELL,2026-06-20T14:35:51.317253,2026-06-20T14:35:52.141520,90.19,74.03,25,403.9999999999999,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:NIFTY10JUL2525500CE,CE,25500.0,BUY,2026-06-20T14:35:54.874454,2026-06-20T14:35:55.799826,108.09,117.16,25,226.74999999999983,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:NIFTY10JUL2525400CE,CE,25400.0,SELL,2026-06-20T14:35:54.874439,2026-06-20T14:35:55.799855,155.49,171.16,25,-391.74999999999966,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:NIFTY10JUL2525350PE,PE,25350.0,BUY,2026-06-20T14:35:56.072487,2026-06-20T14:35:57.002723,74.71,54.5,25,-505.24999999999983,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:NIFTY10JUL2525450PE,PE,25450.0,SELL,2026-06-20T14:35:56.072476,2026-06-20T14:35:57.002758,111.36,87.5,25,596.5,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:NIFTY10JUL2525350PE,PE,25350.0,BUY,2026-06-20T14:35:57.356639,2026-06-20T14:35:58.210930,49.14,20.89,25,-706.25,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:NIFTY10JUL2525450PE,PE,25450.0,SELL,2026-06-20T14:35:57.356626,2026-06-20T14:35:58.210963,83.46,41.45,25,1050.2499999999998,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:NIFTY17JUL2525350CE,CE,25350.0,BUY,2026-06-20T14:36:00.940189,2026-06-20T14:36:01.882867,136.3,89.29,25,-1175.2500000000002,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:NIFTY17JUL2525250CE,CE,25250.0,SELL,2026-06-20T14:36:00.940174,2026-06-20T14:36:01.882890,181.34,125.68,25,1391.5,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:NIFTY17JUL2525000PE,PE,25000.0,BUY,2026-06-20T14:36:02.252945,2026-06-20T14:36:03.091643,62.39,54.86,25,-188.25000000000003,EOD_SQUAREOFF
