strategy_name,symbol,option_type,strike,direction,entry_time,exit_time,entry_price,exit_price,quantity,pnl,exit_reason
ZenCreditSpread,BFO:SENSEX27JUN2583400CE,CE,83400.0,BUY,2026-06-20T14:46:02.187509,2026-06-20T14:46:02.799558,301.19,273.25,10,-279.4,EOD_SQUAREOFF
ZenCreditSpread,BFO:SENSEX27JUN2582600CE,CE,82600.0,SELL,2026-06-20T14:46:02.187495,2026-06-20T14:46:02.799616,495.05,518.45,10,-234.00000000000034,EOD_SQUAREOFF
FixedRR_1to3,BFO:SENSEX27JUN2582700CE,CE,82700.0,BUY,2026-06-20T14:46:02.069107,2026-06-20T14:46:02.799638,493.14,463.3,10,-298.39999999999975,EOD_SQUAREOFF
LyapunovCreditSpread,BFO:SENSEX27JUN2582800CE,CE,82800.0,BUY,2026-06-20T14:46:02.033824,2026-06-20T14:46:02.799660,442.39,426.82,10,-155.69999999999993,EOD_SQUAREOFF
LyapunovCreditSpread,BFO:SENSEX27JUN2582600CE,CE,82600.0,SELL,2026-06-20T14:46:02.033810,2026-06-20T14:46:02.799680,505.17,518.45,10,-132.8000000000003,EOD_SQUAREOFF
ExpiryShortStrangle,BFO:SENSEX27JUN2582400PE,PE,82400.0,SELL,2026-06-20T14:46:01.891650,2026-06-20T14:46:02.799698,561.71,503.38,20,1166.6000000000008,EOD_SQUAREOFF
ExpiryShortStrangle,BFO:SENSEX27JUN2582800CE,CE,82800.0,SELL,2026-06-20T14:46:01.891597,2026-06-20T14:46:02.799717,464.88,426.82,20,761.2,EOD_SQUAREOFF
FixedRR_1to3,BFO:SENSEX27JUN2583300CE,CE,83300.0,BUY,2026-06-20T14:46:03.056130,2026-06-20T14:46:04.040258,399.0,579.82,10,1808.2000000000005,EOD_SQUAREOFF
FixedRR_1to3,BFO:SENSEX27JUN2583900CE,CE,83900.0,BUY,2026-06-20T14:46:04.300933,2026-06-20T14:46:05.278010,285.86,392.23,10,1063.7,EOD_SQUAREOFF
FixedRR_1to3,BFO:SENSEX04JUL2583900CE,CE,83900.0,BUY,2026-06-20T14:46:05.679597,2026-06-20T14:46:06.520077,652.08,572.9,10,-791.8000000000006,EOD_SQUAREOFF
ExpiryShortStrangle,BFO:SENSEX04JUL2583600PE,PE,83600.0,SELL,2026-06-20T14:46:05.587040,2026-06-20T14:46:06.520106,791.64,529.59,20,5240.999999999999,EOD_SQUAREOFF
