strategy_name,symbol,option_type,strike,direction,entry_time,exit_time,entry_price,exit_price,quantity,pnl,exit_reason
ExpiryShortStrangle,BFO:SENSEX27JUN2582400PE,PE,82400.0,SELL,2026-06-20T14:46:01.891650,2026-06-20T14:46:02.799698,561.71,503.38,20,1166.6000000000008,EOD_SQUAREOFF
ExpiryShortStrangle,BFO:SENSEX27JUN2582800CE,CE,82800.0,SELL,2026-06-20T14:46:01.891597,2026-06-20T14:46:02.799717,464.88,426.82,20,761.2,EOD_SQUAREOFF
ExpiryShortStrangle,BFO:SENSEX04JUL2583600PE,PE,83600.0,SELL,2026-06-20T14:46:05.587040,2026-06-20T14:46:06.520106,791.64,529.59,20,5240.999999999999,EOD_SQUAREOFF
ExpiryShortStrangle,BFO:SENSEX04JUL2584000CE,CE,84000.0,SELL,2026-06-20T14:46:05.587013,2026-06-20T14:46:06.520128,630.11,549.59,20,1610.3999999999996,EOD_SQUAREOFF
ExpiryShortStrangle,BFO:SENSEX11JUL2583100PE,PE,83100.0,SELL,2026-06-20T14:46:11.834083,2026-06-20T14:46:12.805939,751.92,771.23,20,-386.2000000000012,EOD_SQUAREOFF
ExpiryShortStrangle,BFO:SENSEX11JUL2583500CE,CE,83500.0,SELL,2026-06-20T14:46:11.834057,2026-06-20T14:46:12.805958,663.59,621.4,20,843.8000000000011,EOD_SQUAREOFF
ExpiryShortStrangle,BFO:SENSEX18JUL2582100PE,PE,82100.0,SELL,2026-06-20T14:46:18.094521,2026-06-20T14:46:19.034952,760.41,715.62,20,895.7999999999993,EOD_SQUAREOFF
ExpiryShortStrangle,BFO:SENSEX18JUL2582500CE,CE,82500.0,SELL,2026-06-20T14:46:18.094488,2026-06-20T14:46:19.034975,633.76,546.92,20,1736.8000000000006,EOD_SQUAREOFF
ExpiryShortStrangle,BFO:SENSEX25JUL2581900PE,PE,81900.0,SELL,2026-06-20T14:46:24.335747,2026-06-20T14:46:25.263417,771.43,771.9,20,-9.400000000000546,EOD_SQUAREOFF
ExpiryShortStrangle,BFO:SENSEX25JUL2582300CE,CE,82300.0,SELL,2026-06-20T14:46:24.335722,2026-06-20T14:46:25.263438,617.88,595.62,20,445.1999999999998,EOD_SQUAREOFF
ExpiryShortStrangle,BFO:SENSEX01AUG2581400PE,PE,81400.0,SELL,2026-06-20T14:46:30.515479,2026-06-20T14:46:31.447842,775.38,823.48,20,-962.0000000000005,EOD_SQUAREOFF
ExpiryShortStrangle,BFO:SENSEX01AUG2581800CE,CE,81800.0,SELL,2026-06-20T14:46:30.515455,2026-06-20T14:46:31.447861,603.84,410.71,20,3862.6000000000013,EOD_SQUAREOFF
ExpiryShortStrangle,BFO:SENSEX08AUG2580600PE,PE,80600.0,SELL,2026-06-20T14:46:36.730981,2026-06-20T14:46:37.662385,768.03,825.17,20,-1142.7999999999997,EOD_SQUAREOFF
ExpiryShortStrangle,BFO:SENSEX08AUG2581000CE,CE,81000.0,SELL,2026-06-20T14:46:36.730956,2026-06-20T14:46:37.662407,595.81,629.57,20,-675.2000000000021,EOD_SQUAREOFF
ExpiryShortStrangle,BFO:SENSEX15AUG2579900PE,PE,79900.0,SELL,2026-06-20T14:46:42.918138,2026-06-20T14:46:43.855024,732.21,1068.85,20,-6732.799999999997,EOD_SQUAREOFF
ExpiryShortStrangle,BFO:SENSEX15AUG2580300CE,CE,80300.0,SELL,2026-06-20T14:46:42.918114,2026-06-20T14:46:43.855044,620.31,768.61,20,-2966.0000000000014,EOD_SQUAREOFF
