strategy_name,symbol,option_type,strike,direction,entry_time,exit_time,entry_price,exit_price,quantity,pnl,exit_reason
ZenCreditSpread,BFO:SENSEX27JUN2583400CE,CE,83400.0,BUY,2026-06-20T14:46:02.187509,2026-06-20T14:46:02.799558,301.19,273.25,10,-279.4,EOD_SQUAREOFF
ZenCreditSpread,BFO:SENSEX27JUN2582600CE,CE,82600.0,SELL,2026-06-20T14:46:02.187495,2026-06-20T14:46:02.799616,495.05,518.45,10,-234.00000000000034,EOD_SQUAREOFF
ZenCreditSpread,BFO:SENSEX04JUL2584700CE,CE,84700.0,BUY,2026-06-20T14:46:05.544216,2026-06-20T14:46:06.520187,523.72,431.83,10,-918.9000000000004,EOD_SQUAREOFF
ZenCreditSpread,BFO:SENSEX04JUL2583900CE,CE,83900.0,SELL,2026-06-20T14:46:05.544200,2026-06-20T14:46:06.520205,684.81,572.9,10,1119.0999999999997,EOD_SQUAREOFF
ZenCreditSpread,BFO:SENSEX11JUL2584200CE,CE,84200.0,BUY,2026-06-20T14:46:11.987643,2026-06-20T14:46:12.805847,523.61,469.96,10,-536.5000000000003,EOD_SQUAREOFF
ZenCreditSpread,BFO:SENSEX11JUL2583400CE,CE,83400.0,SELL,2026-06-20T14:46:11.987624,2026-06-20T14:46:12.805878,695.06,651.84,10,432.19999999999914,EOD_SQUAREOFF
ZenCreditSpread,BFO:SENSEX18JUL2583200CE,CE,83200.0,BUY,2026-06-20T14:46:18.043901,2026-06-20T14:46:19.035035,510.0,417.68,10,-923.1999999999999,EOD_SQUAREOFF
ZenCreditSpread,BFO:SENSEX18JUL2582400CE,CE,82400.0,SELL,2026-06-20T14:46:18.043881,2026-06-20T14:46:19.035054,673.43,572.92,10,1005.0999999999999,EOD_SQUAREOFF
ZenCreditSpread,BFO:SENSEX25JUL2582900CE,CE,82900.0,BUY,2026-06-20T14:46:24.319391,2026-06-20T14:46:25.263457,501.25,463.67,10,-375.79999999999984,EOD_SQUAREOFF
ZenCreditSpread,BFO:SENSEX25JUL2582100CE,CE,82100.0,SELL,2026-06-20T14:46:24.319376,2026-06-20T14:46:25.263479,663.87,678.81,10,-149.3999999999994,EOD_SQUAREOFF
ZenCreditSpread,BFO:SENSEX01AUG2582300CE,CE,82300.0,BUY,2026-06-20T14:46:30.532191,2026-06-20T14:46:31.447764,499.67,353.84,10,-1458.3000000000004,EOD_SQUAREOFF
ZenCreditSpread,BFO:SENSEX01AUG2581500CE,CE,81500.0,SELL,2026-06-20T14:46:30.532176,2026-06-20T14:46:31.447785,666.25,457.78,10,2084.7000000000003,EOD_SQUAREOFF
ZenCreditSpread,BFO:SENSEX08AUG2581500CE,CE,81500.0,BUY,2026-06-20T14:46:36.681462,2026-06-20T14:46:37.662466,519.66,500.13,10,-195.29999999999973,EOD_SQUAREOFF
ZenCreditSpread,BFO:SENSEX08AUG2580700CE,CE,80700.0,SELL,2026-06-20T14:46:36.681446,2026-06-20T14:46:37.662484,696.87,799.96,10,-1030.9000000000003,EOD_SQUAREOFF
ZenCreditSpread,BFO:SENSEX15AUG2580900CE,CE,80900.0,BUY,2026-06-20T14:46:43.069380,2026-06-20T14:46:43.854976,485.97,520.77,10,347.99999999999955,EOD_SQUAREOFF
ZenCreditSpread,BFO:SENSEX15AUG2580100CE,CE,80100.0,SELL,2026-06-20T14:46:43.069366,2026-06-20T14:46:43.855003,659.69,893.31,10,-2336.199999999999,EOD_SQUAREOFF
