strategy_name,symbol,option_type,strike,direction,entry_time,exit_time,entry_price,exit_price,quantity,pnl,exit_reason
ExpiryShortStrangle,NFO:BANKNIFTY01JAN2551100CE,CE,51100.0,SELL,2026-06-20T20:51:48.119374,2026-06-20T20:51:48.216915,106.44,213.45,30,-3210.2999999999997,STOP_LOSS_HIT
FixedRR_1to3,NFO:BANKNIFTY01JAN2551300CE,CE,51300.0,BUY,2026-06-20T20:51:48.266193,2026-06-20T20:51:48.319490,129.92,86.43,15,-652.3499999999997,STOP_LOSS_HIT
FixedRR_1to3,NFO:BANKNIFTY01JAN2551100CE,CE,51100.0,BUY,2026-06-20T20:51:48.369561,2026-06-20T20:51:48.970416,165.85,156.88,15,-134.54999999999998,STOP_LOSS_HIT
LyapunovCreditSpread,NFO:BANKNIFTY01JAN2550900PE,PE,50900.0,BUY,2026-06-20T20:51:48.555580,2026-06-20T20:51:49.013935,166.12,182.54,15,246.2999999999998,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY01JAN2551100PE,PE,51100.0,SELL,2026-06-20T20:51:48.555564,2026-06-20T20:51:49.013964,176.44,198.29,15,-327.7499999999999,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY01JAN2550300PE,PE,50300.0,BUY,2026-06-20T20:51:48.423132,2026-06-20T20:51:49.013987,194.23,194.88,15,9.750000000000085,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY01JAN2551100PE,PE,51100.0,SELL,2026-06-20T20:51:48.423117,2026-06-20T20:51:49.014007,196.97,198.29,15,-19.799999999999898,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:BANKNIFTY01JAN2550700PE,PE,50700.0,SELL,2026-06-20T20:51:48.122018,2026-06-20T20:51:49.014026,170.0,181.66,30,-349.7999999999999,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY08JAN2552000CE,CE,52000.0,BUY,2026-06-20T20:51:49.293992,2026-06-20T20:51:50.194761,222.38,272.51,15,751.9499999999999,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY08JAN2551200CE,CE,51200.0,SELL,2026-06-20T20:51:49.293978,2026-06-20T20:51:50.194803,421.62,642.35,15,-3310.9500000000003,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY08JAN2551400CE,CE,51400.0,BUY,2026-06-20T20:51:49.265471,2026-06-20T20:51:50.194827,359.65,512.05,15,2285.9999999999995,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY08JAN2551200CE,CE,51200.0,SELL,2026-06-20T20:51:49.265458,2026-06-20T20:51:50.194847,427.77,642.35,15,-3218.7000000000007,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY08JAN2550400CE,CE,50400.0,BUY,2026-06-20T20:51:51.849134,2026-06-20T20:51:51.927487,275.41,176.76,15,-1479.7500000000005,STOP_LOSS_HIT
FixedRR_1to3,NFO:BANKNIFTY08JAN2550200CE,CE,50200.0,BUY,2026-06-20T20:51:51.973478,2026-06-20T20:51:52.224466,279.08,193.55,15,-1282.9499999999996,STOP_LOSS_HIT
ExpiryShortStrangle,NFO:BANKNIFTY08JAN2550800CE,CE,50800.0,SELL,2026-06-20T20:51:51.667946,2026-06-20T20:51:52.266951,249.12,74.33,30,5243.700000000001,TARGET_HIT
ExpiryShortStrangle,NFO:BANKNIFTY08JAN2550400PE,PE,50400.0,SELL,2026-06-20T20:51:51.667972,2026-06-20T20:51:52.334622,312.52,644.54,30,-9960.599999999999,STOP_LOSS_HIT
LyapunovCreditSpread,NFO:BANKNIFTY08JAN2550200PE,PE,50200.0,BUY,2026-06-20T20:51:53.223655,2026-06-20T20:51:53.776819,232.12,170.92,15,-918.0000000000002,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY08JAN2550400PE,PE,50400.0,SELL,2026-06-20T20:51:53.223641,2026-06-20T20:51:53.776847,232.31,285.38,15,-796.05,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY08JAN2549500PE,PE,49500.0,BUY,2026-06-20T20:51:54.732504,2026-06-20T20:51:54.964918,140.43,145.67,15,78.59999999999971,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY08JAN2549700PE,PE,49700.0,SELL,2026-06-20T20:51:54.732491,2026-06-20T20:51:54.964946,146.24,146.33,15,-1.3500000000000512,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY08JAN2548900PE,PE,48900.0,BUY,2026-06-20T20:51:54.237655,2026-06-20T20:51:54.964968,183.89,168.88,15,-225.14999999999986,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY08JAN2549700PE,PE,49700.0,SELL,2026-06-20T20:51:54.237642,2026-06-20T20:51:54.964988,193.17,146.33,15,702.5999999999997,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY15JAN2550400CE,CE,50400.0,BUY,2026-06-20T20:51:55.244687,2026-06-20T20:51:56.154057,213.28,160.53,15,-791.25,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY15JAN2549600CE,CE,49600.0,SELL,2026-06-20T20:51:55.244672,2026-06-20T20:51:56.154090,417.17,339.82,15,1160.2500000000005,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY15JAN2549900CE,CE,49900.0,BUY,2026-06-20T20:51:55.219219,2026-06-20T20:51:56.154112,327.49,251.78,15,-1135.65,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY15JAN2549700CE,CE,49700.0,SELL,2026-06-20T20:51:55.219206,2026-06-20T20:51:56.154132,392.87,306.82,15,1290.7500000000002,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY15JAN2548600CE,CE,48600.0,BUY,2026-06-20T20:51:57.646526,2026-06-20T20:51:57.863300,277.57,192.51,15,-1275.9,STOP_LOSS_HIT
FixedRR_1to3,NFO:BANKNIFTY15JAN2548400CE,CE,48400.0,BUY,2026-06-20T20:51:58.034047,2026-06-20T20:51:58.289127,239.09,166.22,15,-1093.0500000000002,STOP_LOSS_HIT
ExpiryShortStrangle,NFO:BANKNIFTY15JAN2548800CE,CE,48800.0,SELL,2026-06-20T20:51:57.639997,2026-06-20T20:51:58.452915,213.41,63.81,30,4488.0,TARGET_HIT
ExpiryShortStrangle,NFO:BANKNIFTY15JAN2548400PE,PE,48400.0,SELL,2026-06-20T20:51:57.640029,2026-06-20T20:51:58.565767,319.59,407.36,30,-2633.1000000000013,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY15JAN2548500PE,PE,48500.0,BUY,2026-06-20T20:51:59.070303,2026-06-20T20:51:59.754177,231.8,147.99,15,-1257.15,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY15JAN2548700PE,PE,48700.0,SELL,2026-06-20T20:51:59.070288,2026-06-20T20:51:59.754208,231.82,156.35,15,1132.05,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY15JAN2548700PE,PE,48700.0,BUY,2026-06-20T20:51:59.997283,2026-06-20T20:52:00.940802,153.92,155.36,15,21.600000000000392,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY15JAN2548900PE,PE,48900.0,SELL,2026-06-20T20:51:59.997272,2026-06-20T20:52:00.940830,166.37,267.93,15,-1523.4,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY15JAN2548100PE,PE,48100.0,BUY,2026-06-20T20:51:59.997208,2026-06-20T20:52:00.940852,166.17,151.96,15,-213.1499999999997,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY15JAN2548900PE,PE,48900.0,SELL,2026-06-20T20:51:59.997193,2026-06-20T20:52:00.940871,166.37,267.93,15,-1523.4,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY22JAN2549500CE,CE,49500.0,BUY,2026-06-20T20:52:01.276596,2026-06-20T20:52:02.127469,334.16,316.81,15,-260.25000000000034,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY22JAN2549300CE,CE,49300.0,SELL,2026-06-20T20:52:01.276582,2026-06-20T20:52:02.127498,402.17,389.37,15,192.00000000000017,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY22JAN2550100CE,CE,50100.0,BUY,2026-06-20T20:52:01.260589,2026-06-20T20:52:02.127519,203.77,180.01,15,-356.4000000000003,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY22JAN2549300CE,CE,49300.0,SELL,2026-06-20T20:52:01.260574,2026-06-20T20:52:02.127539,402.97,389.37,15,204.00000000000034,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY22JAN2549100CE,CE,49100.0,BUY,2026-06-20T20:52:03.554073,2026-06-20T20:52:04.032700,256.42,491.48,15,3525.9,TARGET_HIT
ExpiryShortStrangle,NFO:BANKNIFTY22JAN2549200CE,CE,49200.0,SELL,2026-06-20T20:52:03.602600,2026-06-20T20:52:04.147709,254.05,543.62,30,-8687.1,STOP_LOSS_HIT
FixedRR_1to3,NFO:BANKNIFTY22JAN2549500CE,CE,49500.0,BUY,2026-06-20T20:52:04.042671,2026-06-20T20:52:04.534584,251.38,206.27,15,-676.6499999999997,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:BANKNIFTY22JAN2548800PE,PE,48800.0,SELL,2026-06-20T20:52:03.602623,2026-06-20T20:52:04.534614,285.96,275.44,30,315.59999999999945,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY22JAN2548600PE,PE,48600.0,BUY,2026-06-20T20:52:05.164991,2026-06-20T20:52:05.734425,224.16,151.62,15,-1088.1,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY22JAN2548800PE,PE,48800.0,SELL,2026-06-20T20:52:05.164977,2026-06-20T20:52:05.734452,226.96,261.35,15,-515.8500000000003,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY22JAN2548400PE,PE,48400.0,BUY,2026-06-20T20:52:06.023867,2026-06-20T20:52:06.925464,135.69,141.48,15,86.84999999999988,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY22JAN2548600PE,PE,48600.0,SELL,2026-06-20T20:52:06.023854,2026-06-20T20:52:06.925494,142.83,143.64,15,-12.149999999999608,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY22JAN2547900PE,PE,47900.0,BUY,2026-06-20T20:52:06.004416,2026-06-20T20:52:06.925515,164.93,156.99,15,-119.09999999999997,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY22JAN2548700PE,PE,48700.0,SELL,2026-06-20T20:52:06.004401,2026-06-20T20:52:06.925536,166.17,150.1,15,241.0499999999999,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY29JAN2549600CE,CE,49600.0,BUY,2026-06-20T20:52:07.236845,2026-06-20T20:52:08.115708,202.33,140.24,15,-931.35,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY29JAN2548800CE,CE,48800.0,SELL,2026-06-20T20:52:07.236831,2026-06-20T20:52:08.115735,403.87,297.29,15,1598.6999999999998,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY29JAN2549000CE,CE,49000.0,BUY,2026-06-20T20:52:07.217523,2026-06-20T20:52:08.115756,350.86,242.61,15,-1623.75,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY29JAN2548800CE,CE,48800.0,SELL,2026-06-20T20:52:07.217511,2026-06-20T20:52:08.115776,422.42,297.29,15,1876.9499999999998,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY29JAN2548100CE,CE,48100.0,BUY,2026-06-20T20:52:09.609113,2026-06-20T20:52:10.383080,258.81,248.07,15,-161.10000000000014,STOP_LOSS_HIT
ExpiryShortStrangle,NFO:BANKNIFTY29JAN2547700PE,PE,47700.0,SELL,2026-06-20T20:52:09.595790,2026-06-20T20:52:10.524976,280.4,270.21,30,305.69999999999993,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:BANKNIFTY29JAN2548100CE,CE,48100.0,SELL,2026-06-20T20:52:09.595768,2026-06-20T20:52:10.525001,243.41,248.53,30,-153.60000000000014,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY29JAN2548900CE,CE,48900.0,BUY,2026-06-20T20:52:10.758936,2026-06-20T20:52:11.116698,183.76,353.25,15,2542.3500000000004,TARGET_HIT
LyapunovCreditSpread,NFO:BANKNIFTY29JAN2548900PE,PE,48900.0,BUY,2026-06-20T20:52:11.090742,2026-06-20T20:52:11.720831,230.31,195.77,15,-518.0999999999999,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY29JAN2549100PE,PE,49100.0,SELL,2026-06-20T20:52:11.090722,2026-06-20T20:52:11.720862,231.08,320.73,15,-1344.75,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY29JAN2548300PE,PE,48300.0,BUY,2026-06-20T20:52:11.978219,2026-06-20T20:52:12.911141,168.58,156.42,15,-182.40000000000038,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY29JAN2549100PE,PE,49100.0,SELL,2026-06-20T20:52:11.978207,2026-06-20T20:52:12.911171,168.93,144.62,15,364.65000000000003,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY29JAN2548900PE,PE,48900.0,BUY,2026-06-20T20:52:11.974999,2026-06-20T20:52:12.911193,155.19,138.02,15,-257.54999999999984,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY29JAN2549100PE,PE,49100.0,SELL,2026-06-20T20:52:11.974985,2026-06-20T20:52:12.911213,167.51,144.62,15,343.3499999999998,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY05FEB2550000CE,CE,50000.0,BUY,2026-06-20T20:52:13.283355,2026-06-20T20:52:14.100050,198.62,185.36,15,-198.89999999999986,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY05FEB2549200CE,CE,49200.0,SELL,2026-06-20T20:52:13.283341,2026-06-20T20:52:14.100077,395.69,422.14,15,-396.74999999999983,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY05FEB2549500CE,CE,49500.0,BUY,2026-06-20T20:52:13.244920,2026-06-20T20:52:14.100098,339.39,299.31,15,-601.1999999999998,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY05FEB2549300CE,CE,49300.0,SELL,2026-06-20T20:52:13.244907,2026-06-20T20:52:14.100128,408.3,368.47,15,597.4499999999998,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY05FEB2549300CE,CE,49300.0,BUY,2026-06-20T20:52:16.787678,2026-06-20T20:52:17.702311,260.96,225.4,15,-533.3999999999996,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:BANKNIFTY05FEB2549000PE,PE,49000.0,SELL,2026-06-20T20:52:16.771209,2026-06-20T20:52:17.702338,313.23,247.12,30,1983.3000000000004,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:BANKNIFTY05FEB2549400CE,CE,49400.0,SELL,2026-06-20T20:52:16.771184,2026-06-20T20:52:17.702361,227.98,191.3,30,1100.3999999999994,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY05FEB2550000CE,CE,50000.0,BUY,2026-06-20T20:52:17.936635,2026-06-20T20:52:18.014578,191.66,125.28,15,-995.6999999999999,STOP_LOSS_HIT
LyapunovCreditSpread,NFO:BANKNIFTY05FEB2549700PE,PE,49700.0,BUY,2026-06-20T20:52:18.328372,2026-06-20T20:52:18.896946,227.55,151.52,15,-1140.45,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY05FEB2549900PE,PE,49900.0,SELL,2026-06-20T20:52:18.328359,2026-06-20T20:52:18.896974,227.6,146.5,15,1216.5,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY05FEB2549700PE,PE,49700.0,BUY,2026-06-20T20:52:19.227735,2026-06-20T20:52:20.091096,188.51,161.59,15,-403.79999999999984,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY05FEB2550500PE,PE,50500.0,SELL,2026-06-20T20:52:19.227723,2026-06-20T20:52:20.091141,192.72,271.02,15,-1174.4999999999998,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY05FEB2550200PE,PE,50200.0,BUY,2026-06-20T20:52:19.131306,2026-06-20T20:52:20.091163,143.98,153.41,15,141.4500000000001,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY05FEB2550400PE,PE,50400.0,SELL,2026-06-20T20:52:19.131292,2026-06-20T20:52:20.091183,149.1,210.8,15,-925.5000000000002,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY12FEB2550500CE,CE,50500.0,BUY,2026-06-20T20:52:20.346859,2026-06-20T20:52:21.288261,367.11,330.11,15,-555.0,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY12FEB2550300CE,CE,50300.0,SELL,2026-06-20T20:52:20.346843,2026-06-20T20:52:21.288289,438.22,418.32,15,298.5000000000005,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY12FEB2551100CE,CE,51100.0,BUY,2026-06-20T20:52:20.340294,2026-06-20T20:52:21.288311,230.88,187.77,15,-646.6499999999997,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY12FEB2550300CE,CE,50300.0,SELL,2026-06-20T20:52:20.340278,2026-06-20T20:52:21.288331,443.26,418.32,15,374.09999999999997,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY12FEB2549900CE,CE,49900.0,BUY,2026-06-20T20:52:22.781877,2026-06-20T20:52:23.714581,267.29,305.2,15,568.6499999999995,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:BANKNIFTY12FEB2549600PE,PE,49600.0,SELL,2026-06-20T20:52:22.778589,2026-06-20T20:52:23.714615,318.56,290.98,30,827.3999999999995,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:BANKNIFTY12FEB2550000CE,CE,50000.0,SELL,2026-06-20T20:52:22.778530,2026-06-20T20:52:23.714637,231.27,252.18,30,-627.3,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY12FEB2549600CE,CE,49600.0,BUY,2026-06-20T20:52:24.075150,2026-06-20T20:52:24.487969,218.54,152.82,15,-985.8,STOP_LOSS_HIT
LyapunovCreditSpread,NFO:BANKNIFTY12FEB2549400PE,PE,49400.0,BUY,2026-06-20T20:52:24.300787,2026-06-20T20:52:24.917777,232.52,161.61,15,-1063.6499999999999,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY12FEB2549600PE,PE,49600.0,SELL,2026-06-20T20:52:24.300774,2026-06-20T20:52:24.917804,232.89,273.92,15,-615.4500000000005,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY12FEB2548700PE,PE,48700.0,BUY,2026-06-20T20:52:25.201820,2026-06-20T20:52:26.114582,157.06,162.07,15,75.14999999999986,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY12FEB2548900PE,PE,48900.0,SELL,2026-06-20T20:52:25.201807,2026-06-20T20:52:26.114608,170.59,153.39,15,258.0000000000002,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY12FEB2548000PE,PE,48000.0,BUY,2026-06-20T20:52:25.152872,2026-06-20T20:52:26.114629,171.31,197.86,15,398.25000000000017,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY12FEB2548800PE,PE,48800.0,SELL,2026-06-20T20:52:25.152858,2026-06-20T20:52:26.114648,178.18,157.56,15,309.30000000000007,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY19FEB2549900CE,CE,49900.0,BUY,2026-06-20T20:52:26.398744,2026-06-20T20:52:27.310621,343.7,218.76,15,-1874.1,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY19FEB2549700CE,CE,49700.0,SELL,2026-06-20T20:52:26.398731,2026-06-20T20:52:27.310647,412.19,265.61,15,2198.7,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY19FEB2550500CE,CE,50500.0,BUY,2026-06-20T20:52:26.366205,2026-06-20T20:52:27.310668,218.35,130.3,15,-1320.7499999999998,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY19FEB2549700CE,CE,49700.0,SELL,2026-06-20T20:52:26.366192,2026-06-20T20:52:27.310691,424.89,265.61,15,2389.2,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY19FEB2548900CE,CE,48900.0,BUY,2026-06-20T20:52:28.796222,2026-06-20T20:52:29.680043,249.31,492.55,15,3648.6000000000004,TARGET_HIT
ExpiryShortStrangle,NFO:BANKNIFTY19FEB2548600PE,PE,48600.0,SELL,2026-06-20T20:52:28.796373,2026-06-20T20:52:29.727571,318.07,331.5,30,-402.9000000000002,EOD_SQUAREOFF
ExpiryShortStrangle,NFO:BANKNIFTY19FEB2549000CE,CE,49000.0,SELL,2026-06-20T20:52:28.796352,2026-06-20T20:52:29.727597,217.62,415.86,30,-5947.200000000001,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY19FEB2548800PE,PE,48800.0,BUY,2026-06-20T20:52:30.299700,2026-06-20T20:52:30.930649,229.1,163.76,15,-980.1,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY19FEB2549000PE,PE,49000.0,SELL,2026-06-20T20:52:30.299687,2026-06-20T20:52:30.930674,230.0,168.36,15,924.5999999999998,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY19FEB2549000CE,CE,49000.0,BUY,2026-06-20T20:52:30.084095,2026-06-20T20:52:30.930695,218.12,229.07,15,164.24999999999983,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY19FEB2549400PE,PE,49400.0,BUY,2026-06-20T20:52:31.165478,2026-06-20T20:52:32.122262,168.35,174.54,15,92.84999999999997,EOD_SQUAREOFF
LyapunovCreditSpread,NFO:BANKNIFTY19FEB2549600PE,PE,49600.0,SELL,2026-06-20T20:52:31.165467,2026-06-20T20:52:32.122288,183.73,192.07,15,-125.10000000000005,EOD_SQUAREOFF
ZenCreditSpread,NFO:BANKNIFTY19FEB2548800PE,PE,48800.0,BUY,2026-06-20T20:52:31.165399,2026-06-20T20:52:32.122310,178.73,182.75,15,60.30000000000015,EOD_SQUAREOFF
