strategy_name,symbol,option_type,strike,direction,entry_time,exit_time,entry_price,exit_price,quantity,pnl,exit_reason
FixedRR_1to3,NFO:BANKNIFTY01JAN2551300CE,CE,51300.0,BUY,2026-06-20T20:51:48.266193,2026-06-20T20:51:48.319490,129.92,86.43,15,-652.3499999999997,STOP_LOSS_HIT
FixedRR_1to3,NFO:BANKNIFTY01JAN2551100CE,CE,51100.0,BUY,2026-06-20T20:51:48.369561,2026-06-20T20:51:48.970416,165.85,156.88,15,-134.54999999999998,STOP_LOSS_HIT
FixedRR_1to3,NFO:BANKNIFTY08JAN2550400CE,CE,50400.0,BUY,2026-06-20T20:51:51.849134,2026-06-20T20:51:51.927487,275.41,176.76,15,-1479.7500000000005,STOP_LOSS_HIT
FixedRR_1to3,NFO:BANKNIFTY08JAN2550200CE,CE,50200.0,BUY,2026-06-20T20:51:51.973478,2026-06-20T20:51:52.224466,279.08,193.55,15,-1282.9499999999996,STOP_LOSS_HIT
FixedRR_1to3,NFO:BANKNIFTY15JAN2548600CE,CE,48600.0,BUY,2026-06-20T20:51:57.646526,2026-06-20T20:51:57.863300,277.57,192.51,15,-1275.9,STOP_LOSS_HIT
FixedRR_1to3,NFO:BANKNIFTY15JAN2548400CE,CE,48400.0,BUY,2026-06-20T20:51:58.034047,2026-06-20T20:51:58.289127,239.09,166.22,15,-1093.0500000000002,STOP_LOSS_HIT
FixedRR_1to3,NFO:BANKNIFTY22JAN2549100CE,CE,49100.0,BUY,2026-06-20T20:52:03.554073,2026-06-20T20:52:04.032700,256.42,491.48,15,3525.9,TARGET_HIT
FixedRR_1to3,NFO:BANKNIFTY22JAN2549500CE,CE,49500.0,BUY,2026-06-20T20:52:04.042671,2026-06-20T20:52:04.534584,251.38,206.27,15,-676.6499999999997,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY29JAN2548100CE,CE,48100.0,BUY,2026-06-20T20:52:09.609113,2026-06-20T20:52:10.383080,258.81,248.07,15,-161.10000000000014,STOP_LOSS_HIT
FixedRR_1to3,NFO:BANKNIFTY29JAN2548900CE,CE,48900.0,BUY,2026-06-20T20:52:10.758936,2026-06-20T20:52:11.116698,183.76,353.25,15,2542.3500000000004,TARGET_HIT
FixedRR_1to3,NFO:BANKNIFTY05FEB2549300CE,CE,49300.0,BUY,2026-06-20T20:52:16.787678,2026-06-20T20:52:17.702311,260.96,225.4,15,-533.3999999999996,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY05FEB2550000CE,CE,50000.0,BUY,2026-06-20T20:52:17.936635,2026-06-20T20:52:18.014578,191.66,125.28,15,-995.6999999999999,STOP_LOSS_HIT
FixedRR_1to3,NFO:BANKNIFTY12FEB2549900CE,CE,49900.0,BUY,2026-06-20T20:52:22.781877,2026-06-20T20:52:23.714581,267.29,305.2,15,568.6499999999995,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY12FEB2549600CE,CE,49600.0,BUY,2026-06-20T20:52:24.075150,2026-06-20T20:52:24.487969,218.54,152.82,15,-985.8,STOP_LOSS_HIT
FixedRR_1to3,NFO:BANKNIFTY19FEB2548900CE,CE,48900.0,BUY,2026-06-20T20:52:28.796222,2026-06-20T20:52:29.680043,249.31,492.55,15,3648.6000000000004,TARGET_HIT
FixedRR_1to3,NFO:BANKNIFTY19FEB2549000CE,CE,49000.0,BUY,2026-06-20T20:52:30.084095,2026-06-20T20:52:30.930695,218.12,229.07,15,164.24999999999983,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY26FEB2548600CE,CE,48600.0,BUY,2026-06-20T20:52:34.800535,2026-06-20T20:52:35.733967,253.38,269.55,15,242.55000000000024,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY26FEB2548900CE,CE,48900.0,BUY,2026-06-20T20:52:35.968601,2026-06-20T20:52:36.214071,187.32,127.77,15,-893.25,STOP_LOSS_HIT
FixedRR_1to3,NFO:BANKNIFTY05MAR2548100CE,CE,48100.0,BUY,2026-06-20T20:52:39.618499,2026-06-20T20:52:40.552436,263.89,245.22,15,-280.04999999999984,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY05MAR2548300CE,CE,48300.0,BUY,2026-06-20T20:52:40.787679,2026-06-20T20:52:41.755440,194.0,156.06,15,-569.0999999999999,EOD_SQUAREOFF
FixedRR_1to3,NFO:BANKNIFTY12MAR2548500CE,CE,48500.0,BUY,2026-06-20T20:52:45.591610,2026-06-20T20:52:46.410199,289.87,192.74,15,-1456.9499999999998,STOP_LOSS_HIT
FixedRR_1to3,NFO:BANKNIFTY12MAR2548000CE,CE,48000.0,BUY,2026-06-20T20:52:46.899391,2026-06-20T20:52:47.666598,194.4,136.06,15,-875.1,STOP_LOSS_HIT
