datetime,open,high,low,close,volume
2020-01-01 05:30:00+05:30,88.25,89.25,88.0,88.75,5890570.0
2020-01-02 05:30:00+05:30,88.55,92.8,88.55,92.25,13253695.0
2020-01-03 05:30:00+05:30,92.0,92.5,90.5,90.95,9418595.0
2020-01-06 05:30:00+05:30,90.4,90.4,86.85,87.1,7308783.0
2020-01-07 05:30:00+05:30,87.8,88.9,86.55,87.35,9285639.0
2020-01-08 05:30:00+05:30,86.4,87.3,85.6,86.95,7490919.0
2020-01-09 05:30:00+05:30,87.95,90.8,87.55,89.65,9989902.0
2020-01-10 05:30:00+05:30,89.95,90.4,88.45,88.8,7931965.0
2020-01-13 05:30:00+05:30,89.3,90.45,89.25,90.05,5987313.0
2020-01-14 05:30:00+05:30,90.0,91.75,89.6,91.2,7918121.0
2020-01-15 05:30:00+05:30,91.2,91.7,90.2,91.05,7347554.0
2020-01-16 05:30:00+05:30,91.0,94.15,90.75,92.95,16683768.0
2020-01-17 05:30:00+05:30,92.7,93.4,91.4,91.6,7405150.0
2020-01-20 05:30:00+05:30,92.4,94.5,88.05,93.75,43342551.0
2020-01-21 05:30:00+05:30,94.0,96.4,93.5,94.6,30451633.0
2020-01-22 05:30:00+05:30,95.15,95.65,93.3,93.75,13553520.0
2020-01-23 05:30:00+05:30,93.5,95.9,93.3,94.5,11965127.0
2020-01-24 05:30:00+05:30,94.5,96.95,94.2,96.0,9905227.0
2020-01-27 05:30:00+05:30,96.0,96.85,94.65,95.65,8860848.0
2020-01-28 05:30:00+05:30,95.85,96.25,94.65,95.3,5291973.0
2020-01-29 05:30:00+05:30,95.9,96.35,94.55,94.85,6316781.0
2020-01-30 05:30:00+05:30,94.7,94.8,91.1,93.0,8366185.0
2020-01-31 05:30:00+05:30,93.7,93.8,90.8,91.35,10270614.0
2020-02-01 05:30:00+05:30,91.2,91.95,87.3,88.25,6461277.0
2020-02-03 05:30:00+05:30,88.35,89.8,87.05,88.4,8298640.0
2020-02-04 05:30:00+05:30,89.1,90.3,87.75,89.75,10285159.0
2020-02-05 05:30:00+05:30,90.25,91.0,89.2,90.85,7382599.0
2020-02-06 05:30:00+05:30,91.4,93.7,90.5,92.5,12574922.0
2020-02-07 05:30:00+05:30,93.0,93.45,90.95,91.25,11509016.0
2020-02-10 05:30:00+05:30,91.55,91.55,90.0,90.05,5614924.0
2020-02-11 05:30:00+05:30,90.3,91.4,90.0,90.45,5188082.0
2020-02-12 05:30:00+05:30,91.3,91.3,89.5,90.4,4714961.0
2020-02-13 05:30:00+05:30,90.4,90.4,88.9,89.2,5533149.0
2020-02-14 05:30:00+05:30,89.55,89.95,86.75,87.15,7297847.0
2020-02-17 05:30:00+05:30,87.15,87.4,84.0,84.45,8590333.0
2020-02-18 05:30:00+05:30,84.4,84.4,81.0,81.85,12149745.0
2020-02-19 05:30:00+05:30,82.9,85.4,82.7,84.45,12570992.0
2020-02-20 05:30:00+05:30,85.25,88.0,85.0,87.5,12197037.0
2020-02-24 05:30:00+05:30,86.9,87.3,85.7,86.65,5429905.0
2020-02-25 05:30:00+05:30,87.0,88.0,86.0,86.4,4920055.0
2020-02-26 05:30:00+05:30,85.75,86.1,84.6,85.05,4161156.0
2020-02-27 05:30:00+05:30,85.3,89.7,84.65,88.85,20273653.0
2020-02-28 05:30:00+05:30,85.95,87.15,85.1,85.9,13359911.0
2020-03-02 05:30:00+05:30,87.95,88.2,81.65,82.8,12883824.0
2020-03-03 05:30:00+05:30,83.55,85.5,82.5,84.5,8678728.0
2020-03-04 05:30:00+05:30,84.4,84.75,82.1,83.45,7890014.0
2020-03-05 05:30:00+05:30,84.8,84.95,83.0,83.2,9188495.0
2020-03-06 05:30:00+05:30,78.7,81.25,76.3,80.05,10354678.0
2020-03-09 05:30:00+05:30,77.5,78.6,69.75,72.85,26933103.0
2020-03-11 05:30:00+05:30,72.9,75.2,71.0,71.35,21213682.0
2020-03-12 05:30:00+05:30,68.0,68.45,62.45,63.1,29022639.0
2020-03-13 05:30:00+05:30,56.8,69.25,53.65,68.5,22602120.0
2020-03-16 05:30:00+05:30,64.7,66.2,62.5,63.1,17226131.0
2020-03-17 05:30:00+05:30,63.05,64.0,57.0,58.3,15971068.0
2020-03-18 05:30:00+05:30,58.3,59.55,50.2,54.25,30070958.0
2020-03-19 05:30:00+05:30,50.0,56.9,49.65,52.4,21391348.0
2020-03-20 05:30:00+05:30,53.0,55.85,52.2,52.9,18061158.0
2020-03-23 05:30:00+05:30,47.65,47.65,39.8,40.1,14649753.0
2020-03-24 05:30:00+05:30,43.4,43.6,37.3,37.8,25432298.0
2020-03-25 05:30:00+05:30,37.0,41.5,35.7,38.3,20734813.0
2020-03-26 05:30:00+05:30,38.55,45.85,37.55,41.8,31120545.0
2020-03-27 05:30:00+05:30,44.0,47.75,42.6,44.45,42305101.0
2020-03-30 05:30:00+05:30,42.0,43.5,40.2,40.7,24888721.0
2020-03-31 05:30:00+05:30,42.1,42.4,40.75,41.05,14962190.0
2020-04-01 05:30:00+05:30,41.05,41.6,39.35,41.3,16801805.0
2020-04-03 05:30:00+05:30,41.2,41.3,39.5,39.9,13677277.0
2020-04-07 05:30:00+05:30,41.85,43.2,40.35,42.7,17485359.0
2020-04-08 05:30:00+05:30,42.5,45.35,40.5,40.85,38777869.0
2020-04-09 05:30:00+05:30,41.2,42.5,40.05,40.95,34422765.0
2020-04-13 05:30:00+05:30,40.9,41.6,39.7,40.65,20458011.0
2020-04-15 05:30:00+05:30,41.1,43.8,41.0,41.4,27800697.0
2020-04-16 05:30:00+05:30,41.3,42.6,40.55,42.2,15770006.0
