datetime,open,high,low,close,volume
2020-01-01 05:30:00+05:30,92.75,93.7,91.05,91.45,83742.0
2020-01-02 05:30:00+05:30,93.0,93.0,89.0,89.35,379118.0
2020-01-03 05:30:00+05:30,89.45,93.4,89.45,91.25,85097.0
2020-01-06 05:30:00+05:30,91.1,92.85,86.1,87.55,145949.0
2020-01-07 05:30:00+05:30,87.3,89.2,85.55,86.6,220910.0
2020-01-08 05:30:00+05:30,85.9,87.75,85.05,86.05,67647.0
2020-01-09 05:30:00+05:30,86.6,88.45,86.6,87.3,86291.0
2020-01-10 05:30:00+05:30,88.45,89.2,87.0,87.35,80918.0
2020-01-13 05:30:00+05:30,87.55,93.75,87.55,93.1,211648.0
2020-01-14 05:30:00+05:30,93.0,100.5,92.15,97.95,998988.0
2020-01-15 05:30:00+05:30,98.8,105.15,98.25,102.35,848535.0
2020-01-16 05:30:00+05:30,103.5,112.5,102.85,103.55,896671.0
2020-01-17 05:30:00+05:30,104.8,106.9,103.1,104.4,468742.0
2020-01-20 05:30:00+05:30,103.55,105.35,102.0,102.35,169817.0
2020-01-21 05:30:00+05:30,102.45,103.95,97.9,98.35,129903.0
2020-01-22 05:30:00+05:30,97.25,100.95,95.5,98.0,310593.0
2020-01-23 05:30:00+05:30,101.2,101.2,96.5,98.3,259241.0
2020-01-24 05:30:00+05:30,99.45,102.9,96.75,101.35,281871.0
2020-01-27 05:30:00+05:30,101.0,103.5,98.65,101.2,338075.0
2020-01-28 05:30:00+05:30,102.0,103.55,98.45,98.9,82063.0
2020-01-29 05:30:00+05:30,100.0,103.25,97.0,98.85,142643.0
2020-01-30 05:30:00+05:30,102.55,103.4,98.25,99.7,666845.0
2020-01-31 05:30:00+05:30,101.9,102.0,98.1,99.45,298722.0
2020-02-01 05:30:00+05:30,99.45,100.0,96.25,97.6,127983.0
2020-02-03 05:30:00+05:30,95.3,101.0,95.3,98.45,195670.0
2020-02-04 05:30:00+05:30,97.2,101.0,95.5,97.9,223180.0
2020-02-05 05:30:00+05:30,99.95,99.95,96.0,96.9,156877.0
2020-02-06 05:30:00+05:30,97.05,99.45,94.25,95.35,105172.0
2020-02-07 05:30:00+05:30,96.45,97.5,94.2,96.1,260963.0
2020-02-10 05:30:00+05:30,96.4,99.65,93.8,96.9,127819.0
2020-02-11 05:30:00+05:30,98.9,99.9,94.1,95.15,129514.0
2020-02-12 05:30:00+05:30,95.0,96.4,90.25,91.05,153058.0
2020-02-13 05:30:00+05:30,91.15,92.15,88.15,88.95,88598.0
2020-02-14 05:30:00+05:30,88.95,91.0,87.95,89.8,157871.0
2020-02-17 05:30:00+05:30,91.5,93.5,85.5,87.2,195849.0
2020-02-18 05:30:00+05:30,87.2,88.5,84.55,85.45,124666.0
2020-02-19 05:30:00+05:30,86.0,90.85,85.45,89.65,208775.0
2020-02-20 05:30:00+05:30,89.65,90.5,85.55,87.15,266221.0
2020-02-24 05:30:00+05:30,86.15,89.75,85.55,87.55,222363.0
2020-02-25 05:30:00+05:30,86.6,88.9,85.75,88.35,304923.0
2020-02-26 05:30:00+05:30,87.75,89.0,86.15,86.65,169304.0
2020-02-27 05:30:00+05:30,88.8,88.8,83.7,85.1,120320.0
2020-02-28 05:30:00+05:30,82.0,84.9,80.5,81.75,88348.0
2020-03-02 05:30:00+05:30,81.0,89.1,76.15,81.75,169068.0
2020-03-03 05:30:00+05:30,84.0,84.9,79.15,81.45,102652.0
2020-03-04 05:30:00+05:30,81.2,84.7,76.8,78.65,134921.0
2020-03-05 05:30:00+05:30,79.3,81.2,78.0,80.55,123260.0
