datetime,open,high,low,close,volume
2020-01-01 05:30:00+05:30,43.7,44.05,42.85,43.2,8132650.0
2020-01-02 05:30:00+05:30,43.3,46.25,43.1,45.95,20691143.0
2020-01-03 05:30:00+05:30,45.95,46.65,45.15,45.65,11015257.0
2020-01-06 05:30:00+05:30,45.0,45.6,43.5,43.7,10941075.0
2020-01-07 05:30:00+05:30,44.05,45.05,43.45,44.05,8924256.0
2020-01-08 05:30:00+05:30,43.5,44.8,43.35,44.55,8955822.0
2020-01-09 05:30:00+05:30,45.25,46.0,45.0,45.5,8191985.0
2020-01-10 05:30:00+05:30,45.6,46.35,45.2,45.5,9724585.0
2020-01-13 05:30:00+05:30,45.75,46.15,45.5,45.8,4738374.0
2020-01-14 05:30:00+05:30,45.8,47.4,45.8,47.1,12724238.0
2020-01-15 05:30:00+05:30,47.3,48.45,46.7,48.25,13185368.0
2020-01-16 05:30:00+05:30,48.3,48.75,46.95,47.45,13351415.0
2020-01-17 05:30:00+05:30,47.45,47.75,46.2,46.45,9703097.0
2020-01-20 05:30:00+05:30,46.75,46.85,45.95,46.15,5577326.0
2020-01-21 05:30:00+05:30,45.95,46.5,45.05,45.35,7764564.0
2020-01-22 05:30:00+05:30,45.75,45.75,44.9,45.4,7562511.0
2020-01-23 05:30:00+05:30,45.4,46.3,45.2,46.05,6912307.0
2020-01-24 05:30:00+05:30,46.15,47.0,45.7,46.5,7184760.0
2020-01-27 05:30:00+05:30,46.05,46.6,45.5,45.6,8558908.0
2020-01-28 05:30:00+05:30,45.7,45.9,44.65,44.9,5294884.0
2020-01-29 05:30:00+05:30,45.1,45.8,44.6,44.8,12372730.0
2020-01-30 05:30:00+05:30,44.9,44.95,43.5,43.9,9177011.0
2020-01-31 05:30:00+05:30,44.25,44.3,42.3,42.55,18252296.0
2020-02-01 05:30:00+05:30,42.5,43.7,41.5,42.0,9281980.0
2020-02-03 05:30:00+05:30,42.0,42.25,41.1,41.7,7189798.0
2020-02-04 05:30:00+05:30,42.0,42.7,41.6,42.5,6025975.0
2020-02-05 05:30:00+05:30,42.9,43.7,42.2,43.4,8617929.0
2020-02-06 05:30:00+05:30,44.5,45.2,43.9,44.45,13318419.0
2020-02-07 05:30:00+05:30,44.5,45.25,43.8,45.1,6735689.0
2020-02-10 05:30:00+05:30,44.95,45.1,43.1,43.25,10922663.0
2020-02-11 05:30:00+05:30,42.3,43.35,40.85,40.95,25752130.0
2020-02-12 05:30:00+05:30,41.35,41.6,39.15,40.25,17918613.0
2020-02-13 05:30:00+05:30,40.4,41.6,40.35,41.4,8686475.0
2020-02-14 05:30:00+05:30,41.4,41.65,40.5,40.8,5062366.0
2020-02-17 05:30:00+05:30,41.0,41.3,39.85,40.2,7279178.0
2020-02-18 05:30:00+05:30,38.95,39.2,38.1,39.0,8795325.0
2020-02-19 05:30:00+05:30,39.15,39.95,38.7,39.2,5503843.0
2020-02-20 05:30:00+05:30,39.35,39.6,38.25,38.8,10386184.0
2020-02-24 05:30:00+05:30,38.6,38.6,36.75,36.95,9327552.0
2020-02-25 05:30:00+05:30,37.2,37.45,36.5,36.65,5391014.0
2020-02-26 05:30:00+05:30,36.1,36.6,35.9,36.0,6195927.0
2020-02-27 05:30:00+05:30,36.0,36.15,34.4,34.7,8752825.0
2020-02-28 05:30:00+05:30,33.6,34.05,32.75,33.5,11589520.0
2020-03-02 05:30:00+05:30,34.2,34.6,32.3,32.65,8832483.0
2020-03-03 05:30:00+05:30,32.8,35.05,32.4,34.45,10392093.0
2020-03-04 05:30:00+05:30,34.4,35.25,33.3,34.95,11036836.0
2020-03-05 05:30:00+05:30,35.25,35.65,34.05,34.35,6379219.0
