datetime,open,high,low,close,volume
2020-01-01 05:30:00+05:30,744.07,749.64,739.3,741.36,158161.0
2020-01-02 05:30:00+05:30,745.21,755.1,738.55,752.52,338340.0
2020-01-03 05:30:00+05:30,753.66,754.41,742.05,751.25,318700.0
2020-01-06 05:30:00+05:30,740.79,748.02,725.6,733.03,251738.0
2020-01-07 05:30:00+05:30,735.74,744.39,733.28,738.33,187292.0
2020-01-08 05:30:00+05:30,731.07,737.26,727.36,732.34,215038.0
2020-01-09 05:30:00+05:30,750.38,751.6,738.77,750.38,208851.0
2020-01-10 05:30:00+05:30,751.67,761.62,747.13,750.8,718067.0
2020-01-13 05:30:00+05:30,751.67,754.76,740.51,746.6,336600.0
2020-01-14 05:30:00+05:30,747.2,754.16,745.98,751.18,301320.0
2020-01-15 05:30:00+05:30,749.59,756.65,745.73,749.81,464602.0
2020-01-16 05:30:00+05:30,750.68,768.97,750.68,763.33,703432.0
2020-01-17 05:30:00+05:30,764.1,794.28,764.1,789.46,1040955.0
2020-01-20 05:30:00+05:30,792.89,799.9,785.75,791.32,456685.0
2020-01-21 05:30:00+05:30,791.3,800.89,783.04,787.02,581928.0
2020-01-22 05:30:00+05:30,789.46,792.94,778.27,784.31,234346.0
2020-01-23 05:30:00+05:30,784.66,792.84,780.09,786.82,352940.0
2020-01-24 05:30:00+05:30,786.97,809.29,786.97,807.83,675803.0
2020-01-27 05:30:00+05:30,809.84,814.81,770.84,774.1,981767.0
2020-01-28 05:30:00+05:30,774.84,783.22,746.23,749.09,683385.0
2020-01-29 05:30:00+05:30,752.17,765.3,740.89,759.73,627013.0
2020-01-30 05:30:00+05:30,760.62,762.81,747.45,750.58,355752.0
2020-01-31 05:30:00+05:30,753.17,757.79,736.91,745.83,334263.0
2020-02-01 05:30:00+05:30,740.79,750.68,695.6,704.1,342809.0
2020-02-03 05:30:00+05:30,705.76,725.62,703.7,714.51,440274.0
2020-02-04 05:30:00+05:30,719.16,740.64,719.09,734.47,292288.0
2020-02-05 05:30:00+05:30,739.25,750.01,735.77,744.54,273458.0
2020-02-06 05:30:00+05:30,746.7,756.15,742.6,751.25,269039.0
2020-02-07 05:30:00+05:30,750.68,753.17,738.52,749.24,206234.0
2020-02-10 05:30:00+05:30,748.69,748.69,731.07,733.75,233901.0
2020-02-11 05:30:00+05:30,737.01,756.65,725.87,743.1,1401399.0
2020-02-12 05:30:00+05:30,740.74,740.74,700.59,707.78,1666879.0
2020-02-13 05:30:00+05:30,710.91,720.85,701.89,706.09,720405.0
2020-02-14 05:30:00+05:30,709.62,714.36,692.51,694.95,521198.0
2020-02-17 05:30:00+05:30,699.25,699.25,683.22,687.42,542961.0
