datetime,open,high,low,close,volume
2020-01-01 05:30:00+05:30,47.3,47.65,46.48,46.78,121005300.0
2020-01-02 05:30:00+05:30,47.2,48.78,47.2,48.49,216749610.0
2020-01-03 05:30:00+05:30,48.3,48.62,47.95,48.37,129568630.0
2020-01-06 05:30:00+05:30,48.0,48.0,47.06,47.33,96016080.0
2020-01-07 05:30:00+05:30,47.55,48.46,47.36,47.61,131957880.0
2020-01-08 05:30:00+05:30,47.17,47.82,46.7,47.53,133048410.0
2020-01-09 05:30:00+05:30,48.5,48.6,47.91,48.32,101311520.0
2020-01-10 05:30:00+05:30,48.55,49.39,48.0,48.62,159276340.0
2020-01-13 05:30:00+05:30,49.11,49.7,48.78,49.58,109427500.0
2020-01-14 05:30:00+05:30,49.65,50.6,49.58,49.86,156608220.0
2020-01-15 05:30:00+05:30,49.19,50.36,48.92,50.21,121179480.0
2020-01-16 05:30:00+05:30,50.2,50.41,49.21,49.44,104383690.0
2020-01-17 05:30:00+05:30,49.33,49.89,49.19,49.53,56824600.0
2020-01-20 05:30:00+05:30,49.7,49.98,48.92,49.07,72918780.0
2020-01-21 05:30:00+05:30,48.78,48.78,47.35,47.62,113158030.0
2020-01-22 05:30:00+05:30,47.87,47.99,47.32,47.51,76621710.0
2020-01-23 05:30:00+05:30,47.59,48.19,47.32,48.03,72000200.0
2020-01-24 05:30:00+05:30,48.03,48.51,47.65,48.34,74811300.0
2020-01-27 05:30:00+05:30,47.78,47.78,46.01,46.25,129631190.0
2020-01-28 05:30:00+05:30,46.0,46.2,44.2,44.63,180152830.0
2020-01-29 05:30:00+05:30,45.28,45.97,44.96,45.22,110818340.0
2020-01-30 05:30:00+05:30,45.19,45.45,44.14,44.86,146520160.0
2020-01-31 05:30:00+05:30,45.3,45.43,43.65,43.87,107387270.0
2020-02-01 05:30:00+05:30,43.15,44.0,42.01,42.38,129152120.0
2020-02-03 05:30:00+05:30,41.8,43.9,41.66,43.61,162371260.0
2020-02-04 05:30:00+05:30,44.2,45.34,43.35,45.19,133362630.0
2020-02-05 05:30:00+05:30,45.23,47.97,44.8,47.51,160567650.0
2020-02-06 05:30:00+05:30,47.8,48.73,47.16,47.76,166660740.0
2020-02-07 05:30:00+05:30,47.57,47.97,46.89,47.1,116499090.0
2020-02-10 05:30:00+05:30,46.03,46.33,44.0,44.38,267960480.0
2020-02-11 05:30:00+05:30,44.84,45.77,44.27,44.41,168243710.0
2020-02-12 05:30:00+05:30,45.0,45.45,44.26,44.8,117858580.0
2020-02-13 05:30:00+05:30,44.88,45.17,43.94,44.13,99652210.0
2020-02-14 05:30:00+05:30,44.1,44.56,43.34,43.46,94848170.0
2020-02-17 05:30:00+05:30,43.55,44.09,43.3,43.69,97247650.0
2020-02-18 05:30:00+05:30,43.4,43.52,42.13,43.14,115024230.0
2020-02-19 05:30:00+05:30,43.65,43.85,42.82,43.32,84651090.0
2020-02-20 05:30:00+05:30,42.9,44.77,42.8,44.36,129802370.0
2020-02-24 05:30:00+05:30,43.49,43.49,41.34,41.55,175231420.0
2020-02-25 05:30:00+05:30,41.9,42.56,41.44,42.13,145581760.0
2020-02-26 05:30:00+05:30,41.13,41.94,41.13,41.63,142707060.0
2020-02-27 05:30:00+05:30,41.49,41.59,40.71,41.28,102263790.0
2020-02-28 05:30:00+05:30,39.87,39.9,37.5,38.17,245328330.0
2020-03-02 05:30:00+05:30,39.37,39.4,35.8,36.41,202207720.0
2020-03-03 05:30:00+05:30,37.35,39.1,37.01,38.76,186489330.0
2020-03-04 05:30:00+05:30,38.81,38.99,36.51,37.72,229371480.0
